s|d
 그사람이 너무 좋은데 어떡할까요 정말...|슬픔
요즘 구르미 보는 재미로 산다|행복
첫방 ocn드라마 첫회 최고 시청률 보여주듯이 몰입도 최고였고, 기자의 어그로 제목 때문에 폄하글 많은데 시그널과 다른 소재의 재미로 스릴러 좋아하는 시청자라면 반기는 작품임에 틀림없다|중립
 감사드려요~~~|행복
고속도로 주행시험도 있어야 합니다|중립
김동현 선수 아주 존경해~^^*|행복
방귀어떻게함?|불안
정말 비염 걸린 사람들은 코를 절대로?후비면 안 되나요?|불안
비가 오긴 했나요?ㅡ ㅡ|중립
 욕심작작내고 경비원배치 4면 의무화법시켜라!!|분노
나 한테 오면 맨날 백원씩 주는데|중립
프랑스 경찰의 단속을 지지 합니다.|행복
애플이 그 기분일거다|중립
다만 그래픽 카드 저기 보이는 i7시피유 가격이면 왠만한 사양 마추고 -2-3년뒤 하나 더 사겟소|분노
전국민 생중계로 검찰 조사 방송해라|분노
모르도르의 사우론 탑이네|중립
인류에게 슬슬 노예의 삶이 시작되는구만...|중립
여러분 핸드폰도 자동으로 따라다니는 날이 옵니다|중립
클래스는 영원하다 . .|행복
100퍼 곧끝난다에 내 마이쭈를걸지|중립
올해30여자입니당어떡하죠?ㅠ|불안
정말 칭찬받아 마땅한 기사입니다.|행복
샌드위치가 왜 안팔려서 폐기찍고 아까워서 제가 먹게 만드는걸까요|불안
 몸무게 1키로찌는건 아니겠죠?|불안
제가좋아하는 남자아이가 있는데요....|불안
기대기대~~왕기대~|행복
1개월..   마치 제가 시험 치르듯 가슴이 두근 두근 해지네요|불안
 무슨일이 생길까봐 너뮤 불안해요|불안
 군대땜에저 어케해야될까요|불안
 빨리빨리 파악해서 바로 고쳐주니깐 이러니 고객들이 믿고 살수밖에..|행복
남친이 군대에 있는데..|슬픔
역시 원피스겠죠ㅠㅠ..?|불안
 그냥 화장품판매직이 돈 더 많이 주고 휴무많고 ㅠㅜ|슬픔
시대의 개그맨 탄생인가|중립
연아선수 눈물에 더 마음이 아팠습니다.|슬픔
다리가 긴 대신 허리가 너무짧게느껴져요.|슬픔
친구 어디서 어떻게 사귀죠0|불안
즉결사형해야지..|분노
아이폰7 너무 맘에 든다 ㅎㅎ|행복
남자들 결혼하면 아내 몰래 바람도 피우고 그러나요|불안
오늘 사놓으라고 하는데어떻하죠 ;;|불안
반기문이 대통령되면 제2박근혜(남자버젼) 시작이다 하|분노
 이 감당이 안되는 머릿속에 생각의 소용돌이를 그만 멈추고 싶어요.|슬픔
어디서부터 믿을지.....|불안
일년정도 쓰면 고장나...|슬픔
머리늘복잡하고 알긴하는데 혼자생각보단 이게낫겠다싶어서요|슬픔
공중파 와 케이블 랩퍼의 수준 차이 ㅇㅋ?|중립
어제 다른 신병교육대대로 배치를 받았을텐데 주민번호없인 조회가 안되더라구요 ㅠㅠ|불안
 죄는 미워하되 사람은 미워하지말자|중립
 진짜 쇼챔 1위 못할까봐 심장 쫄이면서 기다렸는데 1위라니 정말 수고많이하셨어요ㅠㅠ|행복
롯데가 프로팀이라고 생각합니까?|불안
 친구들이랑 사이도 좋고 다 좋은데 우울해지네요|슬픔
 술파는곳은 아니고요^^;|불안
와 시발 진짜 욕나온다저런것들이 대통령 하야?|분노
삼성이 갈기갈기 찢어지는구나|중립
한반도 전쟁 확정이네|분노
 언제나 오빠 편이니까~|행복
부도덕한데 무능까지 겹친 최악의 중의 최악 아직도 자기가 대통령인줄 착각하니...ㅉㅉ 신년부터 화병 또 도지네..|분노
진짜 너무 힘들어요이건 그냥 잘생겨서...|슬픔
이제 곧 실습도 나가고 하는데 실습가면 실습가서 뭐하나요?ㅠㅠ|불안
몸이랑 얼굴 비율이 헐리웃 배우같아ㄷㄷ|행복
 받은돈을 보면 정권 내 줘도 후회안될 정도구나?|분노
초등학생을 대통령 시켜도 이거 보단 잘하겠다.|분노
보면 볼수록 무당처럼 생겼다|중립
그냥 계약 자진해지하고 평생 푹쉬어라 먹튀새끼야|분노
꺼져라! 꺼져라! 니가 인간이냐? ㅉㅉ|분노
파리모양 드론으로 더러운 식당은 감시못하는감|중립
고개 하나를넘으면산하나를 지나가면 그다음엔 무엇이있을까?|불안
잘난사람에대한 못난사람의 땡깡|중립
삼성뭐하냐쓰레기보냈으니제대로된투수잡아야지|중립
ㅍㅎㅎㅎ모른다네그럴줄알았다는!!!닭대가리들!!|분노
노친네들이 만들어 놓은 줮같은 문화 1순위가 야근|분노
 이것 저것 생각하면 불안하고 걱정이 앞서네요..|불안
감사함다~|행복
언제나 열씸히 하는 누나모습이 아름답습니다.|행복
벵기가 떠나서 아쉽지만 피넛이 그 자리를 채우네ㄷㄷ|중립
이미 타이밍 놓치고 이제는 보상선수 줘야됨 유망주도 많은데 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ|중립
만능간장으로 꽈리고추 볶음 무지맛나서맛들려서 매일 해먹구요|행복
어떻게 해야 토요일 오전09시에 끝날수있는건가요?|불안
아주 짧은 만남이었고 이 사람은 아니다 라는 생각이 들어서바로 차단하고 번호도 지웠는데자꾸 생각나요..|슬픔
괜히 믿듣탱 하는게 아니죠ㅋㅋㅋㅋ|행복
가는걸 누가막냐...단 이상한 전염병 갖고오지말길...|분노
루핸진 순조로운 한화행 좋아지고 있다|행복
집밥 덕분에 잘먹고 잘살고 있습니다.|행복
이정현씨 순천 내려오면 달걀세례해줍시다|분노
밤문화에 이쁜애들만 더 몰리겠군|중립
 숨막히는줄...|불안
저게 국정농단이냐???|분노
안경 규정위반이다!!|분노
애플쓰지말자~대한민국힘없다진짜~애플추방하라|분노
입털고 바람이 시원하니 내려가기 좋은 날씨네|행복
북괴내부에서 저런 반란이 일어나면 시민봉기가 날라나??|중립
너보다 젊은 포옛도 가는데|중립
이해 못할 무슬림이었지만, 이것만은 기립박수쳐주고 싶다.|행복
노래해줘서 고마워♡|행복
 저도 엄마에게 매우 죄송스러워요.|슬픔
외교관이란 넘이....|분노
 내새끼 제대혈을 저딴 새끼들이 사용했다니...|분노
사랑둥이들 상 받은거 너무너무 축하해요!|행복
 스포츠브라하면 덜 타이트하게 조여주는 느낌이라 오히려 이거입고 뛰면 더 가슴이 처질거같아서 꽉 조여주는 일반 브라입고 하는데 문제가 되나요?|불안
겨우 2년 어이가없네 꽃뱀 공화국답다|분노
열받아서 나갔다|분노
 사실대로 얘기하면싸울것같아서 참고있는데 어떻게하죠..?ㅠㅠ|불안
호갱이들 주머니 털어서 전경유착 자금으로 쓰실려고 ?|분노
아니란식으로 부인하더니 스크맞네ㅋㅋㅋㅋ|불안
이제부터가 진짜시작이지요|중립
북한 때문이라 해라|슬픔
윤샘이나 기자 이름 예쁘내|중립
개념없는 쓰레기들... 고작 게임하나에 목숨거네...|분노
욕이 나올라 하네.|분노
 짱!!!웃기요!~|행복
드디어 임계점이 다가오고 있다|분노
토트넘 동료들이 흥민이 훈련때 보면 잘한다 함 갑자기 잘하는게 아니라 원래부터 잘했다함 .놀랄일도 아니다함|행복
보는 사람 입장에서도 얼마나 신나는지 몰라요.|행복
 한달기준으로 맨날 오면포장 하기전에 쓰러질듯;;|슬픔
여자들도 애매하게 행동하나요?|분노
지금은 할말도없고..|슬픔
편안한 집밥을 너무 너무 고맙네요|행복
그게 맞는말인가요.?|불안
김래원 박신혜 신의 한수 케미가 드라마 끌고 왔다 넘 감사해요|행복
 세븐틴되고 두번째로 맞이하는 생일 너무 축하해요|행복
다른 회사도 이런가요?|불안
북한한테 나라 팔아 먹을려한 집안도 대통령했는데 뭐...|슬픔
지 하야 안할 가능성이 있으니까 국회 에넘기네|중립
오 그렇네 재밌었던 영화|행복
김신과 삼신할매 대화할때 내가 다 먹먹ㅠㅠ|슬픔
나도 노력할께 머리가나빠서 노력하면할수록 수렁에빠지는거같지만서도|슬픔
섬성전자 ~~~ 정신 바짝 차려라 노트4 충전기선 피복벗겨지며 택도없이 수명단축될때 내리막 걷겠구나 싶더라|분노
졸라 한가한 새뀌들....|분노
담주금욜빨리와라 ㅋㅋㅋㅋ|중립
머리끄댕이 잡고 신년인사 할래?|분노
삶을 너무 못산건지..|슬픔
 이혼하는게 답이라고 해야 할까요|슬픔
노트7가지고 타면 테러범으로 몰리는건가???|불안
너를 많이 원망하기도 했고 너를 많이 그리워하기도 했어|슬픔
미친소리하고자빠졌네 온국민이 다알고있는데|분노
반품안하면 폭탄소유로 신고받을까바 더무섭다|불안
노트2 다시 살린다. 노트8 나올때 까지..ㅠ|중립
너무 유난떠는 걸까요?|불안
조언부탁 드려요ㅜㅜ|슬픔
앞으로 30년을 더 살면... 감사합니다.|행복
껍데기랑 배터리만 교체해서 신제품처럼 팔겠지 ㅋㅋㅋㅋ|분노
청소아줌마가 사이다~~~~~|행복
이런 상황까지 몰고간 이따위 미친 세상을 너무나도 증오한다!!!|분노
 고백하는 게 좋을까요 ..|불안
아 웃겨ㅋㅋㅋ 또 바꼈어|행복
TT흑인들원래이런가영|불안
보고하면 이해는 한다고 하나요?|중립
여권사진이 귀가 안보이네???|중립
 제어가안되걱정이예요.|불안
 정말 쓰레기로 가득찬 우리나라...|분노
전 공민지가 더 좋습니다0|행복
이원석이면 무난한 핫코너수비에 뻥뻥때리지는 못해도 한시즌 15~20개정도는 넘겨줄수있는 장타력갖춘 선수지~~~4위밑에 팀들은 당장가도 주전임...|행복
 오늘 잠은 못 잘 것 같네요|슬픔
 진짜 보컬팀 어제 라이브 레전드 였어요!!|행복
있으나 마나한 기상청!!!~~~|분노
그럼한달월급이얼마정도인가요?ㅠㅠ|중립
빌비오 은근히 바르샤 잘잡음|중립
애를 놓으려면 결혼부터 해야되지 않겠습니까 슬프네요|슬픔
잘한 결정이다.|행복
역시나 알고도 모르쇠 도망간거네.|분노
그때 국민들은 이정희를 빨갱이 취급했지 ㅋㅋ|중립
키가 클거여서 인기가 많았던걸까|슬픔
최경위 등 이정권 하에서 죽은 사람의 인권은...?|분노
탄핵해주세요|분노
고문기술자 이근안을 특검으로~!|행복
외국과는 반대로 가솔린차에 세금 폭탄 때리더니 결국 이꼴 나는군.|분노
박정희대통령 만세|행복
난 모르겠는데요|슬픔
 우리와이프가 저리 살아보구 싶다 할까봐요|불안
손흥민이 걱정돼네... 군면제 못받아서 k리그 가면 완전 망할텐데|불안
류준열은 연기 잘하는 배우라는걸 확실히 알린 작품이었어요~^^|행복
 그게 불가능하고 힘드니..|슬픔
하...결방....오늘 하는 드라마는 무엇인가요???|슬픔
 남친이 오늘따라 성욕이넘치나봐요.|중립
정유라가 박근혜 딸인가?|분노
무조건 1번을외치던 우리 아무지도 이제슬슬 닭욕하기시작ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ|행복
누나보고 싶어서집중이 안돼ㅇㅇ보고싶어ㅇ ㅇ계속 생각나아아아아!!!!!!!!|슬픔
북한으로 월북해 빨갱이노무 시키들아 가서 굶어뒈져|분노
차례는 두군데서 지내는게 아니라는 소리가 있어서;0|불안
경기는 최악이라 임금체불도 많다는데 해외여행은 최다.|분노
근데 네이버 댓글은 남자가 여자보다 항상 많다|중립
잡아서 똑같이 해줘라!|분노
영국도 북한 처럼 전세계 에서 왕따 시켜라!|분노
 이건 무슨 심리일까요?ㅠ|불안
경찰추산이 얼추맞아 떨어지는경우도 있구나!|중립
지금가고 있는 길이 바른길인가?|불안
인권위는 국민정서와 반대로가는집단|분노
그렇게까지 잘해줄줄은 정말;;;;;ㅠㅠㅠㅠㅠㅠㅠㅠ|불안
미개하다 미개해|불안
 아니면 휴학을해야되나요|불안
 진짜 노답이네! 답없어!|분노
제가 첫 애라 잘몰라서 그러는데...카시트 잘 안쓰게되나요?|불안
돈줄을 끊어라..국내든 해외든..알아서 기어들어온다..돈떨어진 불법체류자 받아줄 나라없다|중립
 저런 인간들이 국가 인권위라고 세금 받아먹고 살아가니...|분노
고영태 멋지다 금메달감이다|행복
진짜 2016년 최고의경기였다....|행복
 그동안 너무많은 방황을 했습니다.|슬픔
저에게 뭔가 삶을 알게해준 김연아선수안녕하세요..|행복
 어디 물어볼 사람이 없어서...|슬픔
가까운데로 대전에 있는 배재대에넣어볼려고 하는데배재대 괜찮죠?|불안
개가 짖는건 무시하고 얼른 진행하자 탄핵.|중립
당장 때려치우고..|분노
요즘 사람들 군대에 많이 예민한데..ㅠㅠ|슬픔
분명 같이다이어트 시작햇는데 친구는 빠지고저는 그대로고 ㅠㅠㅠ|슬픔
오늘 남자친구가 시계 잃어버렸다네요ㅠㅠ|슬픔
난 저 고속도로사진을 보니 왜 환경이 많이 파괴 되겠구나 란 생각이 먼저 드는지...|슬픔
 이 추운 날씨에 정말 감사하고 고맙습니다|행복
시간이 더디 간다...인물은 없고.|슬픔
택배기사님 정말 감사합니다~ 죄송합니다~|행복
그동안 마음고생이 얼마나 심했을까....안타깝내.|슬픔
 이문제 어찌해결해안될까요? 휴|슬픔
백주부님덕분에요 ~~~|행복
지금 너무 후회되거든요...|슬픔
뭐하고 다니는 짓인지 한심한것들|분노
 내일 사장님이 한소리할걸 생각하니 두렵다..|불안
 진짜 운동하면서 살뺄수있는분들 너무 부러워요|슬픔
이 나라는 언론 이라는 게 꼭 나라 말아 먹을거다....|중립
안민석 의원 그렇게 쉽게 한사람의 명예를 훼손한것 면책특권 뒤에 숨으려 하지 말고 사과해라.|분노
엘지 차우찬이 제일 불안 요소 아닌가?ㅋ|불안
반대는 그렇다치고 기권은 누구냐?|분노
연아 선수 금메달 진심으로 축하드려요 ㅎㅎ~~|행복
95년도에 일본과 친선경기때 처음 유지현선수를 보고 펜이되었습니다.|행복
아베 머라할게 있나....우리는...ㅉ ㅉ ㅉ|슬픔
 어제 런닝맨 완전 재밌었어요!|행복
 어떡하죠 하 죽을까요|슬픔
사실 박근혜보다 더한건 이명박이지...|분노
수입소 먹으면 매국노랄때가 엊그제 같은데 이제 수입 사먹자고 하네.|분노
수고했어요 개리씨 보고싶을꺼예요♥|행복
끝났다!!!!직원들 월급 단디 챙기고회사접어라!!!|분노
고속도로에서 안전벨트 안 하고 있다가 사고났을때 치료비, 보상금 반절로 줄이면 다 해결됨.|중립
뽀로로고 만든다는 우리들이 비판할 자격있나....|슬픔
순실이넌 무기징역|분노
 눈물이 나네요~~~|슬픔
감동주는 촛불광장이추운날씨에 대단하신국민들!!|행복
기저귀를 떼야하는데 쉽지가 않네요.|슬픔
미친 대머리 색기|분노
형이 정리해준다|행복
저승사자, 도깨비, 삼신할멈 관계가 우찌 되는거냠?|중립
근데..재수하면 어쩌지?ㅋ|불안
과연 그럴까.......|불안
재밌고 늘 행복해진답니다|행복
 시간이 지날수록더 심해질거 같은데..|불안
쨋든 그 분이 찍으신 다이어트 동영상 보는데 까치발을 듳었다가 내려왔다가를 반복하는 장면이 있는데 이렇게 하면 알이 빠져요?|불안
저게 무슬림의순교냐?|분노
가정용누진세로 뭐해쳐먹을러고 전기료 비싸게받아먹고 누진세 폐지하면 될것을 저렇게 싸우고있고|분노
대형차는 승용차처럼 민첩하지못합니다. 저런상황을 피하기가 쉽지않다는거고 한번중심을잃으면 감당불가죠|중립
진짜이런건 배워야함|슬픔
LG는 차우찬 데려가는거야, 마는거야?|중립
11일 2층 10구역 가는데..누나는 똥손이란 걸 다시금 깨달았어요..|불안
너무 나도 좋은 음식을 먹기 좋게 만들어주시는  백선생님 늘 사랑합니다..|행복
왜 저딴 쓰레기들이 보수야. 저것들은 범죄자 옹호단체지.말 똑바로써라|분노
마지막 완존 소름~~|불안
벌금 올립시다|중립
나오늘 짤렸다....|슬픔
뭘입어야할지 모르겠어요 ㅠㅠ|슬픔
입사1년차밖에 안됬는데 앞으론 또 어떻게 버텨야할지막막해요....|슬픔
갤럭시노트7 폭발로 3만원 씩 지원나오는거 생명수당이라면서요? ㅋㅋㅋㅋㅋ|행복
 하야하자!!!|분노
 100안에 조기대선.|불안
수어사이드 저거는 포르노인데 ㅋㅋ|중립
자동차들 볼때마다 뿌듯해요~~|행복
만세ㅜㅜㅜㅜㅠ탈큡만세ㅜㅜㅜㅜ쉽지않은 결정이였을텐데 너무 고마워요|행복
아니 사기도 진짜 구멍 없는 완벽한사람이 치면 화가 나는데 저런것들이 치니 웃기네|중립
이걸 보고 웃는건 트럼프겠죠...|중립
신고하면 cctv랑 확인하고 지문채취같은것도 하나여..?|불안
너무무섭네요....|불안
임창용이 오재원한테 한짓은 김성근이 투수들한테 한짓에 비교하면 아주 양반이다.|중립
이나라는 지금 기자넘들 포함해서 공산당 한번 해보고 실은 자들이 넘쳐나는 분위기이다...|분노
JTBC 같은 언론이 있기에 저러는 거다.|행복
닭이랑 계란이 나라를 뒤흔드네|분노
매일 잠도 설치고..|슬픔
진짜나오는커플마다 너무웃기고 즐거웠는데 끝이라니허|슬픔
개집은 16강이 딱이야|분노
근데 어저께 전화와서 갑자기 전화받으니까'미안해'이러는거에요|불안
 오늘 대박 세일가로 스틱 분유 사가지고 왔어요.|행복
면접을 갔다왔는데 세전 월급이 142만원정도 됩니다.|슬픔
근데 여자친구가 너무걱정되네요..|불안
열일해주셔서 감사합니다 ㅠ|행복
왜 오래살까?? 그것은 자외선을 쬐지 않기 때문에.. 인간도 자외선을 쬐지 많으면 오래살수 있다|중립
요즘은 시골 사람들이 더 부자임|중립
식자재 마트서 우리나라 계란 한판 구입했는데비슷한 가격인데요?|분노
 나름 다이어트에 도움되는듯?ㅋㅋㅋㅋㅋㅋㅋㅋ|행복
어느프로에 나오시든 재밌게 보고 있어요|행복
저정도는 되야 비선실세하지.|중립
어느분야는 R&D과제비가 눈먼돈인데 이런곳에 쓰였으면 좋겠어요.|행복
 우리나라 주한미군이 사고치고 미국으로 튀는 거 욕할 입장이 못 된다니깐...|슬픔
특검팀..힘내세요.|행복
나는 항상 버림 받는 존재|슬픔
첫지진 후 3개월 정도 뒤 대지진이 올 수 있다는 일본 지진 전문가 이야기가 진짜일 수도.|불안
 취업이 안되서 걱정인 장애인입니다.|슬픔
티파니가 친일파일줄이야...|분노
 사회 경험이 부족해서 일이 어려울거래요.|불안
비좁은 성냥갑 속의 콩나물들. 중국 따랄 천천히 기여서 출 퇴근 해라.|분노
정부가 차를 사줄거 아니면 좀 아닥좀 해제발|분노
이것저것 따지고 말만하지 말고 행동으로 보여라!!!!|분노
 당신에 미쳐있던 애들 생각해서두 이럼 안되지|분노
 쎄더넴세븐틴화이팅♡|행복
운영자님 죄송합니다..|슬픔
그냥 빠르면 10분, 기본 30분은 되야 답장하고 어쩔때는 반나절이 걸릴때도 있음..|슬픔
그래서인지 친구가 계산하면서 허둥대고 뭔가 떨려보여서ㅋㅋ|행복
저 정신병자 일베충.닭사모.틀딱새끼들 한강물 얼기 전에 수장시켜 버려라 개쑤레기 새끼들~|분노
우체국 사서함으로 배달되는데도 반송될가요? ㅜ|불안
하루가 늦었지만 진심으로 추카드리구여 사랑합니다 ... ^ㅇ^|행복
와 ㄹㅇ 미친 도라이년이네|분노
이렇게 단기로 편의점 알바해도 되는거 맞나|불안
정경씨는 넘이뻐 후후|행복
요즘은 식당비싸서못가고 편의점 도시락먹는디...|슬픔
누구 하나 불에 타 죽어야 액션취할꺼냐?|분노
잘 끝났으면 좋겠다|불안
은근 나혼자 산다 컨셉이랑 비슷하면서 다르네|중립
 돈으로 선동하고 움직이는 조직이나 단체는!!|분노
이슬비 대위 이쁘네...|행복
사과 필요없다니까?|분노
 ,만약에 합격하더라도 일잘할수있으까 걱정도돼고요|슬픔
여친꺼 kt 골드 예약한거 출시하루전에 나왔다고 연락오던데....|중립
단교해라.|분노
제가 가슴이 남자가슴정도는 아니지만작은편이에요|슬픔
철도노조 분들 고생하셨습니다.|분노
당연한 증상인지, 아님 저만 이러는건지 궁금해서요 ㅠㅠ|불안
펠라이니 키만크고 헤딩만 좀 하는 빙신|분노
폭탄을 팔아 처먹놐ㅋㅋㅋㅋㅋ|중립
조만간 뭔일 날거같긴한데|불안
차장(마상원) / 메텔(정주희) / 철이(나) : 기특하게 생긴! 우주! 여인빵! 주인! 오하영님!!!|행복
아버지돈도 순시리와 정윤회한태 빼낀겨|중립
고맙다 새누리 잔챙이들.|행복
샤오미 사고 싶은데 샤오미는 배터리 폭발 안하지?|불안
넘비싸~~~제2에 한화사태가 우려된다|불안
모둔 순리는 약하면 덤비든가 먹으려합니다.. 감사합니다!.|중립
마이피좀 관리하려고 하는데..글쓰는데에 삭제밖에 없어요..|불안
어떻해요..요새 밴드하느라 데이터를 많이 쓰기도 했는데..|불안
멋지다..소신있는 발언들..|행복
 삼고초려 끝에 오케이해준 에릭 진짜ㅜㅜㅜㅜㅜ 완전 좋다!!|행복
요즘은 다 애니사진이라피방에서 유게가기 두렵0|불안
뇌동맥류 정말 위험한건데...|불안
항상 감사한 마음 입니다...|행복
ㅋㅋ 남자가 봐도 멋있다말 진짜 잘한다.|행복
첨엔 좀 그랬는데, 열심히 하는거하며 형들 챙기는거하며, 겉으로 말하는모습하고 다른면도 많이 봤다. 군대 잘갔다왔으면ㅋ|행복
축하합니다~~넘 잘됐네요.|행복
 돈만내고 늙으면 돈도 못받을꺼같은데|불안
선수가 거절했다는 소리는 뮌헨은 ok했다는건가...|슬픔
오빠전역축하해요|행복
그래서 항상고마워요♡!|행복
김민희 홍상수는 왜없냐|분노
이승엽선수 국민들에 희망과 용기를 줘서 고맙습니다.|행복
물론 저야 첫 달이기에 월급에 대해서는 회사에서도 아직 아무런 말이 없지만솔직히 불안합니다.|불안
황교안 대행님 ㅋㅋ|행복
필요한것들을 챙겨줘야하는데 뭔지몰라서요ㅠㅠ|슬픔
간장 한 종지도 감사히 먹는 사람도 있습니다.|중립
배든 비행기든 제주도 가려면 목숨걸어야하는거구나.|불안
수원 햇빛 좋다아|행복
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ자신있네 금요일이라했다?|행복
 무서워요|불안
애 안나실 여성분들 군대로 가십시오 남녀평등 한세상이되야죠 애나으실분은 안가도되공|슬픔
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 쒸 바 알 이러고 ㅋㅋㅋㅋ|분노
이글이 방치되있을수록 불안함이 엄습해오네요..|불안
 보고싶음같은거 어떻게 극복하셨나요....|슬픔
너무나 편안한 인상에 너무나 편안한 말투, 너무나 쉬운 요리법 정말 최곱니다~~~!!!|행복
진짜 조카이 생깄네|행복
택시가 대중교통이 될수없는 이유.|중립
국민들의 분노가 세월호가족들의 피눈물이 당신자신의 손으로 그 눈을 후벼파게 될것이다!!!!!!!|분노
똥이 너무 나온다..|슬픔
ㅉㅉㅉㅉ 세상 종말이 올거같다|불안
막상 분해해보니 아톰.|중립
 시간이 빨리 지나갔으면 좋겠어요|슬픔
 그래서 걱정을 조금 덜었어요 ㅠㅠ|행복
역시 얼굴도 착해 몸매도 착해 마음씨는 말할것도 없네 ^^|행복
 아니면 내가 그만큼 좋아하지 않았나..?|슬픔
말도걸고 싶은데 어떤주제로 말해야 될지도 모르겠구,,,,ㅠㅠ|불안
내 무릎은 괜찮다고 하는데;;;|중립
 아 열받아...|분노
이럴 때 어떡하면 좋죠?|불안
어서내려오라~ 참 나쁜댓통년아|분노
이제는 광고까지 챙겨봐야겠구나|중립
응원합니다~두분 행복하시길~~~~♥|행복
뻔뻔한것들,,. 하나같이 똑같네.|분노
 세븐틴에서 있으면서 캐럿들이랑 함께해주는것도 고마워요|행복
 병신이 청와대에 있다|분노
판에있는 글들보면 3년이상 사귀고 결혼해도 바뀌는 분들이 많다고해서요..|불안
이런 노래 다시 내줘서 감사합니다ㅠㅠ 노래 평생해주세요ㅠㅠ|행복
아니 왜 달의 연인 댓글을 왜 여기다 쓰고 ㅈI 랄이야|분노
 남자친구가 떠날까봐요|불안
 애플이 왜 os를 유지해 가는지 깊이 생각해야 한다.|불안
공원가니 수두룩하던데 참 한심하다 ......|중립
그리고 출산선물은 어떻게 좋을까요 ㅜㅜ|슬픔
안병원선수의 LG팬으로써 진심으로 축하 드리구여.|행복
 제발 언니들 다시 돌려받는법없을까요?|불안
무엇이든 열심히하는모습이 참보기좋던데 ~~언제나 응원합니다^^|행복
여자로 치면 출산경험헸네|중립
시원한 기사 감사드립니다|행복
화이팅.. 응원할게요!|행복
저같이 입덧이 사라졋다 다시 돌아오신분 계신가요 ..|슬픔
대통령 지시없이 어찌 장관이. 이런 엄처난일를 할쑤잇을까?|분노
